iter	Passed	Remaining
0	2	2177
1	4	2017
2	5	1955
3	7	1929
4	9	1922
5	11	1932
6	13	1930
7	15	1909
8	17	1896
9	19	1885
10	20	1870
11	22	1873
12	24	1873
13	26	1885
14	28	1887
15	30	1875
16	32	1872
17	34	1863
18	35	1858
19	37	1854
20	39	1846
21	41	1839
22	43	1839
23	44	1829
24	46	1816
25	48	1808
26	49	1799
27	51	1787
28	53	1780
29	54	1769
30	56	1763
31	58	1767
32	60	1771
33	62	1765
34	63	1757
35	65	1748
36	66	1742
37	68	1742
38	70	1743
39	72	1736
40	73	1729
41	75	1729
42	77	1725
43	79	1719
44	80	1712
45	81	1699
46	83	1702
47	85	1697
48	87	1692
49	88	1688
50	90	1686
51	92	1688
52	94	1683
53	95	1679
54	97	1674
55	99	1670
56	100	1664
57	102	1660
58	103	1656
59	105	1652
60	107	1654
61	109	1651
62	110	1649
63	112	1645
64	114	1642
65	115	1639
66	117	1636
67	119	1633
68	120	1629
69	122	1628
70	124	1627
71	126	1624
72	127	1621
73	129	1618
74	131	1616
75	132	1612
76	134	1609
77	135	1605
78	137	1601
79	139	1602
80	140	1599
81	142	1597
82	144	1594
83	145	1591
84	147	1588
85	149	1585
86	150	1581
87	152	1579
88	154	1578
89	155	1570
90	157	1568
91	158	1566
92	160	1562
93	161	1559
94	163	1557
95	165	1555
96	166	1553
97	168	1550
98	170	1549
99	172	1550
100	173	1548
101	175	1545
102	177	1542
103	178	1539
104	180	1537
105	182	1535
106	183	1532
107	185	1529
108	186	1528
109	187	1520
110	189	1518
111	191	1516
112	192	1514
113	194	1511
114	196	1508
115	197	1506
116	199	1504
117	200	1502
118	202	1500
119	204	1499
120	206	1497
121	207	1494
122	209	1491
123	211	1492
124	212	1490
125	214	1488
126	216	1486
127	218	1485
128	219	1484
129	221	1481
130	223	1479
131	224	1473
132	225	1471
133	227	1467
134	228	1465
135	230	1463
136	232	1461
137	233	1459
138	235	1458
139	237	1456
140	238	1454
141	240	1452
142	242	1450
143	243	1448
144	244	1442
145	246	1439
146	247	1437
147	249	1435
148	251	1434
149	252	1433
150	254	1431
151	256	1430
152	258	1428
153	259	1426
154	261	1424
155	262	1422
156	264	1420
157	266	1418
158	268	1417
159	269	1416
160	271	1414
161	273	1412
162	274	1410
163	276	1408
164	278	1406
165	279	1405
166	281	1403
167	282	1398
168	284	1397
169	285	1395
170	287	1394
171	289	1391
172	290	1390
173	292	1387
174	294	1386
175	295	1384
176	297	1382
177	299	1381
178	300	1379
179	302	1377
180	303	1375
181	305	1374
182	307	1372
183	309	1370
184	310	1368
185	312	1366
186	314	1365
187	316	1366
188	318	1365
189	320	1365
190	322	1364
191	323	1362
192	325	1360
193	326	1358
194	328	1356
195	330	1354
196	332	1354
197	334	1353
198	335	1351
199	337	1350
200	339	1349
201	341	1347
202	342	1346
203	344	1344
204	346	1343
205	348	1342
206	350	1340
207	351	1339
208	353	1337
209	354	1335
210	356	1333
211	358	1331
212	359	1329
213	361	1327
214	363	1326
215	365	1326
216	367	1324
217	369	1323
218	370	1321
219	372	1320
220	373	1318
221	375	1316
222	377	1314
223	379	1313
224	380	1311
225	382	1309
226	383	1307
227	385	1305
228	387	1303
229	388	1301
230	390	1299
231	391	1297
232	393	1295
233	395	1295
234	397	1294
235	399	1292
236	400	1290
237	402	1288
238	404	1286
239	405	1285
240	407	1283
241	409	1281
242	411	1280
243	413	1279
244	414	1277
245	416	1275
246	417	1274
247	419	1272
248	421	1270
249	422	1268
250	424	1266
251	425	1264
252	427	1263
253	429	1261
254	431	1259
255	432	1257
256	434	1256
